backspace pressed,form mistakes,left clicks num,avg time per click,avg press time per key,total time,total mouse distance,max velocity
4,0,4,0.003336113,0.00937012,18442,2837.52182,3.669165219
0,0,6,0.008379888,0.004778555,42381,2853.514978,5.981750111
2,0,4,0.002533249,0.009015379,20950,3576.635677,4.223073472
0,0,5,0.003690037,0.010626011,16895,2587.832927,4.951170987
0,1,8,0.003861004,0.01104695,21275,7037.465751,5.002217371
9,0,4,0.002293578,0.011301495,24700,3234.76426,4.200151217
0,0,4,0.003159558,0.010980966,21709,2010.257444,3.252499486
5,1,17,0.005872193,0.009756632,71626,20031.51972,2.400866049
0,0,7,0.003910615,0.008526671,26817,2777.129421,5.724187267
0,1,11,0.003333333,0.008553311,41999,7018.714397,6.116665372
1,0,7,0.005533597,0.009923506,24434,3463.143064,5.020101117
2,1,11,0.007427414,0.009928843,28365,6141.799829,4.430044526
1,0,3,0.009708738,0.010528674,14992,3160.886558,4.718713301
7,2,13,0.005096041,0.002566634,82331,10086.88262,4.774858603
7,2,11,0.006369066,0.002515137,78761,6582.227782,5.638694016
3,1,4,0.007756243,0.002835039,94354,2764.770445,7.248361527
10,2,7,0.008457865,0.002407463,102841,5123.757364,4.634904128
4,0,5,0.006178689,0.002433432,108805,6845.491001,7.326880345
8,5,14,0.003826182,0.002790308,160634,12920.91188,7.343974712
